artist	title
Blueboy	The Joy Of Living
Jack's Mannequin	Bruised (Snakes Remix)
Kanye West	Stronger
Jack Johnson	Constellations
Kanye West	Family Business
Foo Fighters	Learn To Fly
Carpenters	Goodbye To Love
Lady GaGa	Paper Gangsta
Lil Wayne / Jazze Pha	Shine
Crosby_ Stills & Nash	Southern Cross  (LP Version)
Soul Asylum	Runaway Train
Foo Fighters	Stacked Actors
Harmonia	Sehr kosmisch
Alanis Morissette	Thank You (Album Version)
Prince	Raspberry Beret
My Chemical Romance	To The End (Album Version)
Avril Lavigne	Fall To Pieces
Something Corporate	Punk Rock Princess
The B-52's	Love Shack
My Chemical Romance	Thank You For The Venom (Album Version)
Alejandro Sanz	Sin que se note
MGMT	Brian Eno
Van Halen	Love Walks In (Remastered Album Version)
Panic At The Disco	Behind The Sea [Live In Chicago]
Kanye West	Champion
Foo Fighters	Breakout
Camila	Abrazame  (Version Acustica)
Fleet Foxes	Ragged Wood
Musiq / DJ Aktive / Carol Riddick	Soulstar
Porcupine Tree	Lazarus (Album Version)
Eddy Grant	Electric Avenue
Sam The Sham & The Pharaohs	Wooly Bully
Angus & Julia Stone	Jewels And Gold
Incubus	Warning
Sam & Dave	Hold On I'm Comin'
Herb Alpert And The Tijuana Brass	Acapulco 1922
John Mayer	Neon
Jimmy Eat World	The Middle
Christina Milian	Gonna Tell Everybody
Damian Marley / Stephen Marley / Rovleta Fraser	Hey Girl
DJ Shadow	Mongrel...
Band Of Horses	Our Swords (Soundtrack Version)
Incubus	Are You In?
Angus & Julia Stone	Big Jet Plane
Incubus	Drive
Foo Fighters	Generator
Fleet Foxes	He Doesn't Know Why
Cobra Starship	Prostitution Is The World's Oldest Profession [and I_ Dear Madame_ Am A Professional] (Album Version)
The Prodigy	The Big Gundown
Ottmar Liebert	Festival (Of 7 Lights)
The String Cheese Incident	Bigger Isn't Better
Les Misérables - 10th Anniversary Concert	Do You Hear The People Sing?
The Kingsmen	Louie Louie
Jack Johnson	Moonshine
John Mayer	Bold As Love
Nevermore	All Play Dead
Matt Nathanson	Falling Apart
Baby Bash / Akon	No Way Jose
Tiësto	LA Ride
Belanova	Te Quedas O Te Vas
Missy Higgins	Nightminds (Album Version)
Iron And Wine	Hickory (Album)
Local Natives	Camera Talk
Taking Back Sunday	You Know How I Do (Album Version)
Local Natives	Who Knows Who Cares
Taking Back Sunday	...slowdance On The Inside (Album Version)
Phoenix	Girlfriend
Phoenix	Armistice
Passion Pit	Swimming In The Flood
Andrew Bird	Tenuousness
Jason Mraz	You And I Both (LP Version)
Yael Naïm	New Soul
Octopus Project	The Way Things Go
Pantera	Mouth For War (LP Version)
Alice In Chains	Sludge Factory
Boys Night Out	Medicating
Tommy James And The Shondells	Crystal Blue Persuasion
The Red Jumpsuit Apparatus	Seventeen Ain't So Sweet
Natiruts	Jamaica Roots II(Agora E Sempre)
Maria Gadú	Linda Rosa
Lesley Gore	It's My Party
Lifehouse	Whatever It Takes
City And Colour	What Makes A Man
Counting Crows	Mr. Jones
New Radicals	You Get What You Give
Lifehouse	From Where You Are
Young Bleed	We Don't Stop (Explicit)
Tom Petty And The Heartbreakers	The Waiting
59 Times the Pain	Found Home
Minnie Riperton	Reasons
Lifehouse	We'll Never Know
John Mayer	Heartbreak Warfare
3 Doors Down	When I'm Gone
Marty Stuart	Kiss Me_ I'm Gone
Fall Out Boy	Sugar_ We're Goin Down
LCD Soundsystem	All My Friends
Jules Shear	The Once Lost Returns
Dropkick Murphys	For Boston (Album Version)
Joshua Radin	They Bring Me To You
Ulrich Schnauss	A Song About Hope
Justin Bieber	Somebody To Love
Shinedown	Second Chance (Album Version)
Deadmau5	Ghosts 'n' Stuff (Original Instrumental Mix)
Eminem / Hailie Jade	My Dad's Gone Crazy
Eminem	The Real Slim Shady
Leona Lewis	Forgive Me
Twin Atlantic	What Is Light? Where Is Laughter? (Album Version)
Destiny's Child	Say My Name
Eminem	Just Lose It
Max Richter	Horizon Variations
The Crests	16 Candles
Eminem	Without Me
Salt-N-Pepa	Push It
Lady GaGa	Speechless
Björk	Undo
Florence + The Machine	Dog Days Are Over (Radio Edit)
Matt Nathanson	Still
Dwight Yoakam	You're The One
Nirvana	Where Did You Sleep Last Night
Nirvana	Come As You Are
Train	Hey_ Soul Sister
Barry Tuckwell/Academy of St Martin-in-the-Fields/Sir Neville Marriner	Horn Concerto No. 4 in E flat K495: II. Romance (Andante cantabile)
Audioslave	Cochise
Lifehouse	Storm
Kid Cudi	Sky Might Fall
Shinedown	Cry For Help (Album Version)
Steve Bug	Smackman
Staind	For You (Amended/Radio Edit LP)
Charttraxx Karaoke	Fireflies
OneRepublic	Secrets
Jorge Gonzalez	Esta Es Para Hacerte Féliz
Kings Of Leon	Revelry
Train	Marry Me
Usher featuring will.i.am	OMG
Lil Wayne / Eminem	Drop The World
